lam1,lal1,puh1,lah1,puh2,lam2,lah2,pum1,lal2,lul1,lul2,lum2,lum1,luh2,luh1,toh2,tom2,tol1,yuh2,yum1,yum2,pul1,yul2,yuh1,yul1,toh1,tom1,pul2,pum2,tol2,otuid,lineage
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,OTU1166,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera;f__  Braconidae
0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU1167,r__  root;p__  Arthropoda;c__  Insecta
0,0,1130,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,124,712,659,0,OTU117,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera
0,0,0,0,0,0,0,0,0,1392,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU118,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,424,0,0,0,0,0,0,0,OTU119,r__  root;p__  Arthropoda;c__  Insecta;o__  Coleoptera;f__  Tenebrionidae;g__  Cerogria;s__  Cerogria janthinipennis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,1698,0,0,6436,2366,189,0,0,0,0,0,OTU12,r__  root;p__  Arthropoda;c__  Insecta
0,0,309,0,0,0,0,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,OTU120,r__  root;p__  Arthropoda;c__  Insecta
1251,227,0,0,0,678,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,465,0,0,0,0,OTU121,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
0,0,0,0,0,0,0,0,0,2033,151,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU122,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera;f__  Ichneumonidae
0,0,451,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU123,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
0,0,0,1318,0,0,0,0,0,972,125,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU124,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera;f__  Ichneumonidae
0,1500,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU126,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera;f__  Ichneumonidae
0,0,0,102,0,0,0,0,0,751,1355,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,OTU128,r__  root;p__  Arthropoda;c__  Insecta;o__  Diptera
0,0,0,0,200,0,0,0,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU129,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera;f__  Formicidae;g__  Formica
0,0,0,4285,0,383,2575,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU13,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941,OTU130,r__  root;p__  Arthropoda;c__  Insecta;o__  Diptera
0,0,0,0,0,0,0,0,0,0,0,758,0,3592,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU132,r__  root;p__  Arthropoda;c__  Insecta;o__  Diptera;f__  Chironomidae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,94,984,0,0,0,0,0,0,0,0,0,0,OTU133,r__  root;p__  Arthropoda;c__  Insecta
0,0,1036,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,205,0,119,117,0,0,0,0,0,0,OTU134,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,261,0,0,0,OTU135,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678,0,0,OTU136,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera;f__  Crambidae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,966,155,0,0,1284,0,0,0,OTU137,r__  root;p__  Arthropoda;c__  Insecta
0,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU138,r__  root;p__  Arthropoda;c__  Insecta;o__  Diptera;f__  Syrphidae;g__  Melanostoma;s__  Melanostoma scalare
0,0,0,0,0,0,0,0,0,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU139,r__  root;p__  Arthropoda;c__  Insecta;o__  Diptera;f__  Syrphidae;g__  Cheilosia
0,0,9445,0,1029,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,0,2317,0,0,OTU14,r__  root;p__  Arthropoda;c__  Insecta;o__  Coleoptera
639,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU140,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera;f__  Tortricidae
0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU141,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera;f__  Erebidae
0,0,186,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,180,0,OTU142,r__  root;p__  Arthropoda;c__  Insecta
0,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU143,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera;f__  Ichneumonidae
0,1318,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU144,r__  root;p__  Arthropoda;c__  Insecta;o__  Coleoptera
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,0,0,0,0,0,0,0,0,OTU146,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2943,0,0,159,467,284,152,0,0,0,OTU147,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
